id,name,desc,wuchs,reifezeit,lageansprüche,color,wine_desc,pilzresistent,img_url,verrieselanfälligkeit,ertrag,regelmässig,huglin_min,huglin_max,regen_min,regen_max,sonnestrahlung_min,sonnestrahlung_max,sonnenwinkel_min,sonnenwinkel_max,kalkgehalt_min,kalkgehalt_max,bodentiefe_min,bodentiefe_max,bodenbeschaffenheit_min,bodenbeschaffenheit_max
10,Carminoir,"Kürzlich erfolgte die Taufe des Carminoir. Er wurde vom bekannten RAC-Züchter André Jaquinet aus Blauburgunder und Cabernet Sauvignon gekreuzt. Der Carminoir ist eine fruchtbare Rebe, welche bezüglich ihrer zapfenartigen, kompakten Trauben an ihre Mutter aus dem Burgund erinnert. Die Erfahrungen aus dem Tessin zeigen, dass die Reife etwa zur selben Zeit wie beim Merlot eintritt. Der Carminoir zeigt trotz der dichten Traube eine bemerkenswerte Fäulnisresistenz.",Mittel,Ende Oktober,Hoch,Blau,Reifes Erntegut ergibt sehr farbintensive und gut strukturierte Weine mit komplexem Aroma.,FALSE,https:/www.rebschule-meier.ch/sites/default/files/styles/large/public/2017-06/Seibel.jpg,1,3,3,,,,,,,,,,,,,,
11,Chambourcin,"Es handelt sich um eine spätreifende Sorte (wie Merlot) mit mittelstarkem Wuchs und sie ist daher eher für südliche Lagen (Tessin) geeignet. Sie verlangt eine starke Unterlage. Die Trauben sind gross und mehr oder weniger kompakt, weisen aber häufig ungenügend befruchtete Kleinbeeren auf. Zugunsten der Qualität sollte eine Ertragsregulierung erfolgen. Die Sorte zeigt eine gute Krankheitsresistenz gegen Falschen Mehltau und Blackrot. Die Resistenz gegen Echten Mehltau wird ebenfalls als ziemlich gut bezeichnet.",Mittel,Ende Oktober,Hoch,Blau,"Der Wein ist gehaltvoll, südländisch geprägt und erinnert etwas an Merlot. Als junger Wein kann er noch rauh wirken.",TRUE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Chambourcin.jpg,,,,,,,,,,,,,,,,,
12,Chancellor*,"Der Chancellor (Seibel 7053) gehört mit seiner späten Reife in gute Blauburgunderlagen. Sein kräftiger Wuchs, die grossen Trauben und die gute Fruchtbarkeit machen eine Ausdünnung unbedingt notwendig. Der Chancellor weist eine gute Mehltautoleranz auf.",Stark,Ende Oktober,Hoch,Blau,Der Wein ist ausgesprochen gehaltvoll.,TRUE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/chancellor.jpg,,,,,,,,,,,,,,,,,
13,Chardonnay,Diese Weissweinsorte stammt aus dem Burgund und hat in den letzten Jahren eine beispiellose Karriere durchlaufen. Vor allem in Kalifornien ist sie gleichsam zum Synonym für Weisswein geworden. Auch in der Schweiz findet der Chardonnay seit einigen Jahren zunehmend Interesse.,Mittel,Anfang Oktober,Hoch,Weiss,"Reifes Traubengut ergibt wuchtige Weine mit ausdrucksvoller Frucht (Obst, Grapefruit, Haselnuss, Butter), viel Gehalt und prägnanter Säure.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Chardonnay.JPG,1,2,2,1700,1900,300,500,3000,4000,2,3,1,2,1,3,2,3
14,Charmont,"1965 wurden die Sorten Chasselas und Chardonnay an der Forschungsanstalt Changins von Jean-Louis Simon und André Jaquinet gekreuzt. Das Ziel war es, eine ähnliche Sorte wie den Chasselas zu erhalten mit geringeren Lageansprüchen, aber regelmässigeren Erträgen und höheren Zuckergehalten. Bei gleicher Säure wie beim Chasselas liegt der durchschnittliche Zuckergehalt des Charmont um zehn Öchslegrade höher. Dem Wein selber ist oft ein an den Chardonnay erinnerndes Bouquet eigen; im Allgemeinen ergibt er aber verhältnismässig neutrale Weissweine, die in der Regel mindestens so viel Fülle aufweisen wie der Chasselas.",Mittel bis Stark,Mitte September,Mittel,Weiss,Im Bukett erinnert der neutrale Charmont oft an Chardonnay.,FALSE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Charmont.jpg,1,3,2,,,,,,,,,,,,,,
15,Chasselas (Gutedel),"Die Bedeutung des Gutedel oder Chasselas in der Schweizer Weinwirtschaft ist seit jeher und nach wie vor hoch. Auf fruchtbarem Boden in windgeschützter Lage findet diese Sorte beste Bedingungen. Sie ist bekanntlich eine etwas launische Sorte. Einerseits empfindlich auf Verrieselung bei schlechtem Blühwetter, kann der Gutedel bei günstigen Bedingungen äusserst fruchtbar sein. Manuelle Ertragsregulierung führt nicht immer zum beabsichtigten Ziel, da sich die verbleibenden Trauben umso grösser entwickeln. Bewusste Lenkung des Stickstoffangebots ist die Voraussetzung, um den Ertrag besser zu kontrollieren. Die geringe Fruchtbarkeit der Nebenaugen macht den Gutedel auch etwas spätfrostanfällig.",Mittel,Anfang Oktober,Mittel bis Hoch,Weiss,"Chasselas sind erfrischende, eher leichte und bekömmliche Weine mit moderatem Säuregehalt.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Chasselas2.jpg,3,3,1,,,,,,,,,,,,,,
16,Completer,"Synonyme für den Completer sind Lindauer, Malanstraube und edelweisser Räuschling. Die Trauben sind gross und pyramidenförmig. Die dickhäutigen Beeren werden gelb mit braunen Flecken. Der Completer zeigt mittelstarken Wuchs. Die spätreife Sorte gehört in beste Lagen. Sie ist ziemlich robust bezüglich Pilzkrankheiten, kann aber bei schlechtem Blühwetter etwas verrieseln. Hauptsächlich wird der Completer in der Bündner Herrschaft angebaut, die bekannteste Lage ist die Completer-Halde in Malans.",Mittel bis Stark,Ende Oktober,Hoch,Weiss,Completer-Weine sind aromatisch und körperreich mit robuster Säure. Langlebig.,FALSE,https:/www.rebschule-meier.ch/sites/default/files/styles/large/public/2018-09/rheinriesling.jpg,1,2,3,,,,,,,,,,,,,,
17,Cornalin,"Der Cornalin ist eine der ältesten im Kanton Wallis angepflanzten Rebsorten. Ihren heute gebräuchlichen Namen erhielt die Rebsorte erst 1972, auf Initiative des damaligen Rebbaukommissärs Jean Nicolier. Davor hiess der Cornalin schlicht «Landroter» oder «Rouge du Pays». Man kennt keine nahe oder entfernte Verwandtschaft mit anderen Sorten. Der Cornalin reift sehr spät, und nur beste Standorte garantieren die erwünschte Qualität. Die Fruchtbarkeit ist gut, jedoch nicht sehr regelmässig (Alternanz). Eine Ertragsregulierung ist deshalb unerlässlich. Gegenüber Botrytis ist die Sorte anfällig, und Magnesiummangel ruft sehr oft eine starke Rötung der Blätter hervor. Mit dem Magnesiummangel geht gelegentlich auch die Stiellähme einher.",Mittel bis Stark,Anfang November,Hoch,Blau,"Der Cornalin ist ein tiefdunkler Wein mit einem delikat-komplexen Bukett und einem perfekten Körper. In seiner Jugend kann er etwas rustikal und ungestüm wirken, entwickelt jedoch im Alter eine schöne Finesse.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/styles/large/public/2017-06/Gamay.jpg,1,2,1,,,,,,,,,,,,,,
18,Dakapo,"Diese Kreuzung von Deckrot mit Portugieser ist eine der jüngeren, aussichtsreichen Geisenheimer Deckrotweinsorten. Sie liebt mittlere bis gute Lagen und zeichnet sich durch mittelstarken, aufrechten Wuchs und ihre Blüte- und Winterfrostfestigkeit aus. Die Erfahrung hat gezeigt, dass die Sorte den Charakter des zu unterstützenden Weines nicht negativ beeinflusst. Sie wird ausschliesslich als Deckrotwein verwendet.",Mittel,Anfang Oktober,Mittel,Blau,Deckrotwein,FALSE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Dakapo.jpg,1,3,3,,,,,,,,,,,,,,
19,Diolinoir,"Die neue Kreuzung aus den Traubensorten Rouge du Diolly und Blauburgunder hat ihren Standort nur in besten Vorzugslagen. Ein Anbau in marginalem Klima ist falsch, da eine knappe Traubenreife zu grünen, unharmonischen Weinen führt. Für qualitativ gute Weine müssen mindestens 90 Grad Öchsle erreicht werden. Im Vergleich zum Blauburgunder bringt er im Schnitt aber 4 Öchslegrade weniger. Die hohe Botrytisresistenz, aufgrund der dicken Beerenhaut, ist der grösste Vorteil dieser Sorte. Im Wuchs zeigt sich die Sorte mittel bis kräftig, sollte also nicht zu eng gepflanzt werden. Als zertifizierter Klon steht der RMW1 und RAC16 zur Verfügung.",Mittel bis Stark,Anfang Oktober,Hoch,Blau,"Der Wein hat eine sehr hohe Dichte mit kräftigen, aber runden, samtigen Gerbstoffen und tiefer Farbe. Die Lagerfähigkeit ist beachtenswert.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Diolinoir.jpg,2,3,1,,,,,,,,,,,,,,
20,Doral,"Wie der Charmont ist auch der Doral aus der Kreuzung Chasselas3Chardonnay hervorgegangen. Im Gegensatz zu diesem hat er kleinere Trauben und Beeren. Ihr Wuchs ist mittel bis eher schwächer, ebenso ist die Fruchtbarkeit mittel. Seine Weine zeigen etwas mehr Rasse (Säure), Fülle und Struktur als der Charmont. Neu ist der Klon 4 (RAC 13).",Schwach bis Mittel,Mitte September,Mittel,Weiss,Weine offenbaren etwas mehr Rasse als der Charmont.,FALSE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Doral.jpg,2,2,2,,,,,,,,,,,,,,
21,Dornfelder,"Die als eine der aussichtsreichsten Neuzüchtungen beurteilte Sorte wurde 1955 an der Staatlichen Lehr- und Versuchsanstalt für Wein- und Obstbau in Weinsberg gezüchtet. Als Kreuzungspartner wurden die beiden Sorten Helfensteiner (Frühburgunder x Trollinger) und Heroldrebe (Portugieser x Limberger) verwendet. Der Dornfelder besitzt eine auffallend dunkle Farbe, milde bis kräftige Säure und eine attraktive, würzige Frucht. Im Weinberg lässt er sich bequem kultivieren, hat er doch einen aufrechten, kräftigen Wuchs und eine geringe Neigung zur Geiztriebbildung. Die Trauben sind auffallend gross und locker mit hartschaligen Beeren, die folglich wenig botrytisanfällig sind. Ebenso tief ist die Anfälligkeit gegenüber Echtem Mehltau, während die Sorte normal anfällig auf Falschen Mehltau ist. Die Reifezeit liegt vor dem Blauburgunder, eine späte Lese ist jedoch möglich. Der Standort sollte nicht zu trocken sein. Das hohe Fruchtbarkeitspotential des Dornfelders erfordert einen kurzen Anschnitt sowie eine Ertragsregulierung durch Ausdünnen. Dabei muss berücksichtigt werden, dass bei früher Ausdünnung in Verbindung mit starkem Wuchs ein Ausgleich über die Ausbildung grösserer Beeren erfolgt. Vorteilhaft ist es, erst zum Zeitpunkt von Weichwerden und Verfärbung auszudünnen. Der farbkräftige Dornfelder kann gleichzeitig als Deckrotwein für farbschwache Weine verwendet werden.",Stark,Anfang Oktober,Mittel bis Hoch,Blau,"Es entstehen ansprechende, dunkelrote, fruchtige und körperreiche Weine mit feiner Holundernote. Die Säure ist nicht besonders ausgeprägt.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-12/dornfelden.jpg,1,3,2,,,,,,,,,,,,,,
22,Dunkelfelder,"Die besonderen Vorteile des Dunkelfelders liegen im hohen Reifegrad der Weine und der sehr guten Deckkraft bei geringen Säuregehalten. Im Versuch mit Blauburgunder hat er sich als Färbertraube gut bewährt. Vorteilhaft ist ein Mitgären direkt in der Blauburgundermaische (ca. 1%). Eine geschmackliche Beeinflussung des Blauburgunders ist insofern nicht zu befürchten, als der Dunkelfelder für eine Färbertraube einen erstaunlich runden Wein ergibt, der sogar bei sortenreiner Kelterung noch angenehm zum Konsumieren ist. Die Reife ist im Vergleich zum Blauburgunder etwa zehn Tage früher, dank der ausgezeichneten Fäulnisresistenz können die Trauben aber auch noch sehr spät gelesen werden. Die Rotfärbung der Blätter lässt die Sorte im Rebberg schon von weitem erkennen.",Schwach,Mitte September,Tief bis Mittel,Blau,Deckrotwein,FALSE,https:/www.rebschule-meier.ch/sites/default/files/styles/large/public/2018-08/sirame.jpg,1,2,2,,,,,,,,,,,,,,
23,Freisamer,"Freisamer ist eine Kreuzung aus Silvaner3Pinot gris des staatlichen Weinbauinstitutes Freiburg (D) aus dem Jahre 1962. Ursprünglich als Ersatz für den Pinot gris gedacht, ist die Sorte eher rückläufig, was auf die züchterische Verbesserung des Pinot gris zurückzuführen ist. Der Austrieb ist mittelfrüh, die Blüte spät bei mittlerer bis guter Blühfestigkeit. Der Freisamer reift mittelfrüh und ergibt einen zufriedenstellenden Ertrag. Die Weine sind angenehm füllig.",Mittel,Mitte September,Mittel,Weiss,Im Charakter ähnelt der Freisamer dem Pinot gris. Liebliche Versionen des Weines sind eine Spezialität der Bündner Herrschaft.,FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-12/freisamer.jpg,,,,,,,,,,,,,,,,,
24,Gamaret (B13),"Hervorgegangen aus einer Kreuzung zwischen Gamay und Reichensteiner an der Forschungsanstalt Changins, stösst der Gamaret heute auf grosses Interesse bei den Winzern. 1991 erhielt die Sorte den Eintrag in die Schweizer Sorten-liste. Dank der sehr hohen Botrytisresistenz, der lockeren Laubwand und dem aufrechten Wuchs erscheint die Sorte als weinbaulich sehr interessant. Die regelmässig guten Erträge sind jedoch zu regulieren. Der Gamaret reift mit dem Blauburgunder oder nur wenig früher. Als zertifizierter Klon steht der 4-4 RAC14 zur Verfügung",Mittel,Mitte September,Mittel,Blau,"Die tanninreichen, feinen Weine weisen eine gute Struktur und intensive Farbe auf. Wie beim Garanoir liegt auch bei dieser Sorte der Säuregehalt tief.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Gamaret.jpg,2,2,1,,,,,,,,,,,,,,
25,Gamay,"Die Gamay-Rebe hat es stets eilig, sie treibt früh aus, blüht und reift relativ früh. Sie ist deshalb auch anfällig auf Frühjahrsfrost, dafür weniger auf Winterfrost. Ihre Erträge sind regelmässig, aber oft sehr grosszügig. Auch die unteren Augen des Gamay sind fruchtbar, und man schneidet ihn deshalb oft besonders kurz oder wählt den Cordonschnitt. Sie weist einen schwachen bis mittleren Wuchs auf und ergänzt sich darum gut mit einer starken Unterlage. Der bekannteste Schweizer Klon ist der Klon Sainte-Foix, wobei es sich dabei nicht um einen Klon im engeren Sinne handelt, sondern um eine Massenauslese. Der daraus selektionierte Klon trägt die Nummer 9-22. Er kann sich qualitativ problemlos mit den französischen Klonen, wie zum Beispiel Klon 509 oder 222 messen. An der Forschungsanstalt Changins sind in den letzten Jahren wei-tere Klone selektioniert worden. Dazu gehört auch der zertifizierte Klon 5-44/6 RAC 10.",Schwach bis Mittel,Anfang Oktober,Mittel,Blau,"Der Gamay-Wein ist bläulich-rot, hat eine relativ kräftige Säure und ein einfaches, aber lebhaftes Aroma von frischer, roter Frucht.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Gamay.jpg,1,3,2,1500,1800,300,500,3000,4000,1,2,1,2,1,3,1,2
26,Garanoir (B28),"Wie beim Gamaret handelt es sich auch beim Garanoir um eine Kreuzung von A. Jaquinet an der Forschungsanstalt Changins. Auch diese Gamay3Reichenstein-Kreuzung treibt früh aus, die Reife wird jedoch etwas früher erreicht als beim Gamaret (wie Riesling-Sylvaner). Die hohe Botrytisresistenz trägt zusätzlich dazu bei, dass ein Anbau in ungünstigeren Lagen möglich ist. Der schwachwüchsige Garanoir mit seiner lockeren Laubwand benötigt starke Unterlagen. Schöne Weine werden dann erzielt, wenn auch nach dem Erreichen der Reife die Ernte noch hinausgezögert wird. Als zertifizierter Klon steht der 7/3 RAC15 zur Verfügung.",Schwach,Mitte September,Tief bis Mittel,Blau,Die Weine erinnern stark an den fruchtigen Gamay und haben eine intensive Farbe. Es können auch sehr schöne Rose-Weine gekeltert werden.,FALSE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Garanoir.jpg,1,3,3,,,,,,,,,,,,,,
27,Gewürztraminer,"Eine ausgezeichnete Sorte für die Produktion hochreifer Bukettweine. Aufgrund von Blatt- oder Triebmerkmalen sind der Gewürztraminer und der Rote Traminer nicht unterscheidbar, wohl aber im Geschmack. Ersterer bringt bei weniger Ertrag deutlich mehr Aroma. Als typischer Traminer zeigt der Gewürztraminer an den untersten Augen eine geringe Fruchtbarkeit und sollte deshalb lang angeschnitten werden. Die Erträge überschreiten selten 500 g/m2. Die Ansprüche an Boden und Lage sind hoch. Auf kühlen Standorten kommt es oft zu Verrieselung. Weil der Gewürztraminer zu üppigem Wuchs neigt, ist die   Unterlage SO 4 besonders geeignet. Wir empfehlen wegen ihres typischen Buketts die Klone 47 und 643, wobei es sinnvoll ist, mehr als einen Klon zu pflanzen. Neu ist der Klon RMW 97-43 zertifiziert",Stark,Anfang Oktober,Hoch,Weiss,"Das Bukett ist je nach Lage recht unterschiedlich. Auf leichtem, sandigem Boden ist es am deutlichsten ausgeprägt.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-01/gew%C3%BCrztraminer.jpg,3,1,2,1500,1800,300,500,3000,4000,1,2,1,2,2,3,1,3
28,Heida (Païen),"Diese unter dem Namen Heida oder Païen bekannte Spezialität des Vispertals ist ampelographisch vom Savagnin blanc (im französischen Jura beheimatet) kaum zu unterscheiden. Die Sorte gehört, wie der Räuschling oder der Gewürztraminer, zu den Traminer-Typen, was sich auch in der geringen Fruchtbarkeit der unteren Augen zeigt.",Mittel,Anfang Oktober,Hoch,Weiss,Der Wein birgt ein delikates Bukett mit Aromen von Nüssen und Haselnüssen. Im Mund präsentiert er sich frisch und körperreich mit einem langen Abgang.,FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/heida.jpg,,,,,,,,,,,,,,,,,
29,Helios* (Freiburger Neuzüchtung),FR 242-73 Mehrfachkreuzung mit Merzling,Mittel bis Stark,Anfang Oktober,Mittel,Weiss,"Mostgewicht wie Pinot blanc. Fäulnisanfälligkeit gering. Der Helios bringt fruchtige und saftige Weine mit eigenständiger, angenehmer Bukettierung und lebendiger Säure.",TRUE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/helios.jpg,,,,,,,,,,,,,,,,,
30,Humagne blanc,"Bereits 1313 wurde diese Sorte im Wallis erstmals urkundlich erwähnt. Die stärkenden Eigenschaften des Weines, der den Wöchnerinnen wieder zu Kraft verhelfen sollte, machten ihn zu einer Legende. Die spät reifende Sorte mit länglichen Trauben und mittelgrossen, gelbgrünen Beeren ist wenig fruchtbar. Sie trägt meist nur eine Traube pro Trieb.",Stark,Ende Oktober,Hoch,Weiss,"Eine feine Säure und ein Geschmack von einer delikaten Fruchtigkeit zeichnen die Weine aus. Sie sollten 3 bis 4 Jahre gelagert werden, damit die Subtilität ihrer an Nadelbäume erinnernden Aromen voll zur Geltung kommt.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/humagne-blanc.jpg,1,2,1,,,,,,,,,,,,,,
31,Humagne rouge,"Humagne rouge ist ebenfalls eine sehr spätreifende Walliser Rarität, die aber mit der Humagne blanc keine verwandtschaftliche Beziehung hat. Äusserlich finden sich allerdings Gemeinsamkeiten. So weisen zum Beispiel beide Sorten meist nur eine Traube pro Trieb auf. Die Fruchtbarkeit der Humagne rouge ist regelmässig und gut, die Sorte ist weder besonders anfällig auf Verrieselung noch wird sie rasch von Botrytis befallen.",Mittel bis Stark,Anfang November,Hoch,Blau,"Die Sorte erbringt ungewöhnliche Weine mit unbändiger Geschmacksfülle, die gut auf Fassausbau ansprechen.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-12/humagne-rougue.jpg,1,2,2,,,,,,,,,,,,,,
32,Johanniter*,"Es handelt sich um eine der vielversprechendsten pilzresis-tenten Weissweinsorten. Johanniter ging aus einer Kreuzung des Staatlichen Weinbauinstitutes Freiburg im Breisgau (D) aus dem Jahre 1968 hervor. Die Muttersorte ist der Riesling. Vatersorte ist der Zuchtstamm FR 589-54 (Seyve-Villard 12-4813[Pinot gris3Chasselas]). Der Sortenname Johanniter ist eine Reverenz an den früheren Leiter der Rebenzüchtung des Staatlichen Weinbauinstitutes in Freiburg, Dr. Johannes Zimmermann. Der Johanniter lässt in seinem Erscheinungsbild viele Ähnlichkeiten mit der Muttersorte Riesling erkennen. Die Trauben sind mittelgross, zylindrisch und relativ kompakt. Der Wuchs ist nur mittelkräftig, aber weitgehend aufrecht. Die Winterfrostfestigkeit ist gut, allerdings sollten frostgefährdete Standorte wegen des verfrühten Austriebes gemieden werden. In Lagen mit hohem Infektionsdruck ist mit einem gewissen Befall durch Falschen Mehltau zu rechnen, was in der Praxis ein bis drei Pflanzenschutzbehandlungen erfordern dürfte. Der Johanniter reift etwa zur gleichen Zeit wie der Blauburgunder. Er ist sehr fruchtbar, neigt etwas zu Alternanz und sollte deshalb ausgedünnt werden.",Mittel bis Stark,Anfang Oktober,Mittel bis Hoch,Weiss,"Der Johanniter ist ein rassiger, fruchtiger und harmonischer Wein mit feinem Bukett. Er erinnert etwas an Pinot blanc oder Chasselas.",TRUE,https:/www.rebschule-meier.ch/sites/default/files/styles/large/public/2018-09/helios.jpg,,,,,,,,,,,,,,,,,
